state,total_medicaid_enrollees,total_viii_group_enrollees,total_viii_group_newly_eligible_enrollees,total_viii_group_not_newly_eligible_enrollees,updated_year,updated_month,enrollment_year,enrollment_month,location,notes
Maryland,1211974,309643,309643,0,2020,2,2019,1,"Maryland
(38.946466, -76.687282)",""
Massachusetts,1798421,354871,0,354871,2020,2,2018,7,"Massachusetts
(42.151077, -71.481104)",""
Kentucky,1289799,450707,450707,0,2020,2,2019,6,"Kentucky
(37.526683, -85.290484)",""
Idaho,301897,"","","",2020,2,2018,9,"Idaho
(44.389073, -114.659366)",""
Guam,36382,4041,"",4041,2020,2,2018,7,"Guam
(13.3532, 144.653198)",""
Dist. Of Col.,260240,109131,67651,41480,2020,2,2018,9,"",""
New Hampshire,180873,52421,52137,284,2020,2,2019,6,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Kentucky,1320886,460997,460997,0,2020,2,2018,8,"Kentucky
(37.526683, -85.290484)",""
New Jersey,1690311,564120,564120,0,2020,2,2018,7,"New Jersey
(40.110253, -74.655514)",""
Pennsylvania,2866740,774134,735455,38679,2020,2,2019,1,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Oklahoma,649827,"","","",2020,2,2018,11,"Oklahoma
(35.583449, -97.508297)",""
Virginia,1070456,0,0,0,2020,2,2018,8,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Virginia,1470849,255592,255592,0,2020,2,2019,4,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Kentucky,1308238,454781,454781,0,2020,2,2018,9,"Kentucky
(37.526683, -85.290484)",""
Alaska,205437,47522,47520,2,2020,2,2018,7,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Mississippi,675028,"","","",2020,2,2018,9,"Mississippi
(32.713378, -89.65344)",""
Alabama,1035250,"","","",2020,2,2019,6,"Alabama
(32.756889, -86.844516)",""
Hawaii,317217,113491,20999,92492,2020,2,2018,10,"Hawaii
(21.361013, -157.854309)",""
Illinois,2681580,688386,581454,106932,2020,2,2018,12,"Illinois
(40.124144, -89.148632)",""
Wyoming,57649,"","","",2020,2,2018,7,"Wyoming
(42.999627, -107.55145)",""
Pennsylvania,2866246,774485,735754,38731,2020,2,2018,10,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
N. Mariana Islands,16229,"","","",2020,2,2019,4,"",""
Tennessee,1586376,"","","",2020,2,2019,6,"Tennessee
(35.842998, -86.343226)",""
New Mexico,835672,250673,250673,0,2020,2,2018,8,"New Mexico
(34.421369, -106.108388)",""
Louisiana,1652110,495453,495453,0,2020,2,2018,12,"Louisiana
(30.921314, -91.840238)","Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Indiana,1314309,304042,304042,0,2020,2,2018,11,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Idaho,304138,"","","",2020,2,2018,12,"Idaho
(44.389073, -114.659366)",""
Alaska,206677,51144,51130,14,2020,2,2019,4,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Dist. Of Col.,260789,108049,66542,41507,2020,2,2019,2,"",""
Utah,293018,"","","",2020,2,2018,11,"Utah
(39.323779, -111.678222)",""
Indiana,1320319,309792,309792,0,2020,2,2019,2,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Ohio,2845367,562111,561835,276,2020,2,2019,2,"Ohio
(40.415534, -82.70936)",""
Hawaii,280525,82168,33387,48781,2016,12,2014,12,"Hawaii
(21.361013, -157.854309)",""
California,12725382,3733737,3733737,0,2020,2,2018,9,"California
(37.211164, -119.662127)",""
Kansas,354789,"","","",2020,2,2019,4,"Kansas
(38.484729, -98.38018)",""
New Mexico,837778,255147,255147,0,2020,2,2019,1,"New Mexico
(34.421369, -106.108388)",""
Virginia,1531721,284466,284466,0,2020,2,2019,6,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Mississippi,674239,"","","",2020,2,2019,3,"Mississippi
(32.713378, -89.65344)",""
Missouri,941393,"","","",2020,2,2018,7,"Missouri
(38.3675, -92.477244)",""
N. Mariana Islands,16417,"","","",2020,2,2018,9,"",""
Totals,75071007,15462070,12178529,3283541,2020,2,2019,4,"",""
South Carolina,1256277,"","","",2020,2,2018,7,"South Carolina
(33.878572, -80.864614)",""
Indiana,1332154,304739,304739,0,2020,2,2018,7,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Illinois,2819278,718945,611650,107295,2020,2,2018,8,"Illinois
(40.124144, -89.148632)",""
Hawaii,312149,111530,20366,91164,2020,2,2019,3,"Hawaii
(21.361013, -157.854309)",""
Hawaii,308739,110089,19919,90170,2020,2,2019,5,"Hawaii
(21.361013, -157.854309)",""
Texas,4259080,"","","",2020,2,2018,8,"Texas
(31.447238, -99.317341)",""
Mississippi,674961,"","","",2020,2,2019,5,"Mississippi
(32.713378, -89.65344)",""
Totals,74215582,15269635,12003388,3266247,2020,2,2019,6,"",""
Nevada,588394,210158,210158,0,2020,2,2019,5,"Nevada
(39.283294, -114.916992)",""
Washington,1759718,568958,555071,13887,2020,2,2018,12,"Washington
(47.411715, -120.592492)",""
New Hampshire,186104,54851,54553,298,2020,2,2018,10,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
New Mexico,834585,251482,251482,0,2020,2,2018,10,"New Mexico
(34.421369, -106.108388)",""
New Mexico,832586,252949,252949,0,2020,2,2018,12,"New Mexico
(34.421369, -106.108388)",""
North Carolina,2172915,"","","",2020,2,2019,2,"North Carolina
(35.52603, -79.130883)",""
South Dakota,104391,"","","",2020,2,2018,10,"South Dakota
(44.43614, -100.230491)",""
Texas,4217767,"","","",2020,2,2018,12,"Texas
(31.447238, -99.317341)",""
Virginia,1401917,220580,220580,0,2020,2,2019,2,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Connecticut,941142,259611,236522,23089,2020,2,2018,11,"Connecticut
(41.575155, -72.738288)",""
Amer. Samoa,27898,"","","",2020,2,2018,8,"",""
Dist. Of Col.,260388,108097,66620,41477,2020,2,2019,1,"",""
Georgia,1957134,"","","",2020,2,2019,3,"Georgia
(32.638481, -83.426574)",""
Iowa,606771,169110,154410,14700,2020,2,2018,10,"Iowa
(42.074659, -93.500061)",""
South Dakota,104691,"","","",2020,2,2019,5,"South Dakota
(44.43614, -100.230491)",""
New York,6146669,1909545,300806,1608739,2020,2,2018,12,"New York
(42.921241, -75.59655)",""
New Jersey,1620134,537233,537233,0,2020,2,2019,4,"New Jersey
(40.110253, -74.655514)",""
Nebraska,246589,"","","",2020,2,2018,8,"Nebraska
(41.527099, -99.810595)",""
Hawaii,320843,115454,21523,93931,2020,2,2018,8,"Hawaii
(21.361013, -157.854309)",""
Utah,293397,"","","",2020,2,2018,7,"Utah
(39.323779, -111.678222)",""
California,12793749,3787369,3787362,7,2020,2,2019,1,"California
(37.211164, -119.662127)",""
Michigan,2402672,680631,632048,48583,2020,2,2019,5,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Louisiana,1679275,508604,508604,0,2020,2,2019,1,"Louisiana
(30.921314, -91.840238)","Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Arizona,1871082,425811,107086,318725,2020,2,2019,5,"Arizona
(34.293239, -111.664616)",""
Maryland,1214367,308841,308841,0,2020,2,2018,10,"Maryland
(38.946466, -76.687282)",""
South Carolina,1264072,"","","",2020,2,2018,10,"South Carolina
(33.878572, -80.864614)",""
Alaska,206812,50871,50867,4,2020,2,2019,3,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Colorado,1298991,410093,403062,7031,2020,2,2018,8,"Colorado
(38.998552, -105.547832)",""
Delaware,211280,62798,10046,52752,2020,2,2018,8,"Delaware
(38.994926, -75.452394)",""
Colorado,1249008,386765,379757,7008,2020,2,2019,3,"Colorado
(38.998552, -105.547832)",""
Amer. Samoa,28183,"","","",2020,2,2018,11,"",""
Arkansas,845850,256595,255852,743,2020,2,2018,12,"Arkansas
(34.899825, -92.439162)",""
West Virginia,524465,161113,161113,0,2020,2,2019,2,"West Virginia
(38.642579, -80.613729)",""
New Jersey,1651766,551242,551242,0,2020,2,2019,1,"New Jersey
(40.110253, -74.655514)",""
Nevada,601200,214714,214714,0,2020,2,2018,7,"Nevada
(39.283294, -114.916992)",""
Nevada,587891,210227,210227,0,2020,2,2019,2,"Nevada
(39.283294, -114.916992)",""
Missouri,916574,"","","",2020,2,2018,10,"Missouri
(38.3675, -92.477244)",""
Idaho,298643,"","","",2020,2,2019,5,"Idaho
(44.389073, -114.659366)",""
Hawaii,318337,114226,21206,93020,2020,2,2018,9,"Hawaii
(21.361013, -157.854309)",""
Idaho,303763,"","","",2020,2,2018,11,"Idaho
(44.389073, -114.659366)",""
Vermont,168482,55431,0,55431,2020,2,2019,4,"Vermont
(44.075252, -72.662695)",""
Guam,36512,4127,"",4127,2020,2,2018,10,"Guam
(13.3532, 144.653198)",""
Tennessee,1584270,"","","",2020,2,2019,5,"Tennessee
(35.842998, -86.343226)",""
Oregon,967318,466720,385249,81471,2020,2,2019,4,"Oregon
(43.940449, -120.605279)",""
Wisconsin,1183158,"","","",2020,2,2018,10,"Wisconsin
(44.639954, -89.732969)",""
Alaska,206259,47883,47882,1,2020,2,2018,8,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Montana,255239,98136,98136,0,2020,2,2019,3,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Oregon,956519,456013,381146,74867,2020,2,2018,8,"Oregon
(43.940449, -120.605279)",""
Nebraska,243681,"","","",2020,2,2018,12,"Nebraska
(41.527099, -99.810595)",""
Pennsylvania,2848357,765577,726899,38678,2020,2,2019,6,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Vermont,174092,57632,0,57632,2020,2,2018,10,"Vermont
(44.075252, -72.662695)",""
Dist. Of Col.,258517,106551,65573,40978,2020,2,2019,6,"",""
Virgin Islands,28363,13100,"",13100,2020,2,2019,3,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Delaware,219432,62843,9784,53059,2020,2,2019,2,"Delaware
(38.994926, -75.452394)",""
Florida,3834674,"","","",2020,2,2019,1,"Florida
(28.260731, -82.420978)",""
Delaware,218611,62534,9593,52941,2020,2,2019,4,"Delaware
(38.994926, -75.452394)",""
Mississippi,678980,"","","",2020,2,2018,7,"Mississippi
(32.713378, -89.65344)",""
N. Mariana Islands,15871,"","","",2020,2,2018,11,"",""
South Dakota,104062,"","","",2020,2,2018,12,"South Dakota
(44.43614, -100.230491)",""
New Jersey,1685266,561470,561470,0,2020,2,2018,8,"New Jersey
(40.110253, -74.655514)",""
Indiana,1320211,305297,305297,0,2020,2,2019,1,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Connecticut,955463,267707,243615,24092,2020,2,2019,5,"Connecticut
(41.575155, -72.738288)",""
Alaska,207330,50515,50512,3,2020,2,2019,1,"Alaska
(63.631126, -151.631889)","Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Totals,75525925,15223609,12018088,3205521,2020,2,2018,11,"",""
Utah,290397,"","","",2020,2,2019,1,"Utah
(39.323779, -111.678222)",""
Tennessee,1541156,"","","",2020,2,2019,2,"Tennessee
(35.842998, -86.343226)",""
Louisiana,1618198,468309,468309,0,2020,2,2019,5,"Louisiana
(30.921314, -91.840238)","Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Michigan,2422058,683634,628160,55474,2020,2,2018,11,"Michigan
(44.874798, -85.730977)","Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
New York,6116056,1895526,301806,1593720,2020,2,2019,4,"New York
(42.921241, -75.59655)",""
Amer. Samoa,28183,"","","",2020,2,2019,2,"",""
Louisiana,1633613,478930,478930,0,2020,2,2019,4,"Louisiana
(30.921314, -91.840238)","Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Washington,1727989,550819,536515,14304,2020,2,2019,5,"Washington
(47.411715, -120.592492)",""
Kentucky,1298359,451771,451771,0,2020,2,2018,11,"Kentucky
(37.526683, -85.290484)",""
West Virginia,536370,165238,165238,0,2020,2,2018,7,"West Virginia
(38.642579, -80.613729)",""
Connecticut,935416,256847,233875,22972,2020,2,2018,10,"Connecticut
(41.575155, -72.738288)",""
Iowa,604647,171352,155930,15422,2020,2,2019,2,"Iowa
(42.074659, -93.500061)",""
New Jersey,1631808,541972,541972,0,2020,2,2019,3,"New Jersey
(40.110253, -74.655514)",""
Washington,1728370,549684,535651,14033,2020,2,2019,6,"Washington
(47.411715, -120.592492)",""
Oklahoma,653027,"","","",2020,2,2018,10,"Oklahoma
(35.583449, -97.508297)",""
Maine,251934,0,0,0,2020,2,2018,9,"Maine
(45.117911, -69.06137)","Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
New York,6102146,1890873,301778,1589095,2020,2,2019,5,"New York
(42.921241, -75.59655)",""
Pennsylvania,2858626,771881,733403,38478,2020,2,2018,11,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
South Dakota,105274,"","","",2020,2,2018,8,"South Dakota
(44.43614, -100.230491)",""
Kansas,363294,"","","",2020,2,2019,3,"Kansas
(38.484729, -98.38018)",""
Rhode Island,304249,66656,66656,0,2020,2,2019,2,"Rhode Island
(41.572574, -71.534637)",""
North Dakota,91289,20160,19211,949,2020,2,2019,1,"North Dakota
(47.446305, -100.46931)",""
Montana,258642,98389,98389,0,2020,2,2018,8,"Montana
(47.033521, -109.645127)","Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Louisiana,1577893,460757,460757,0,2020,2,2019,6,"Louisiana
(30.921314, -91.840238)","Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
South Dakota,104303,"","","",2020,2,2019,4,"South Dakota
(44.43614, -100.230491)",""
North Dakota,88829,19692,18765,927,2020,2,2019,6,"North Dakota
(47.446305, -100.46931)",""
Arizona,1880703,417074,106282,310792,2020,2,2018,9,"Arizona
(34.293239, -111.664616)",""
Arizona,1876550,427072,107443,319629,2020,2,2019,4,"Arizona
(34.293239, -111.664616)",""
Minnesota,1073560,193826,193000,826,2020,2,2019,4,"Minnesota
(46.349153, -94.198308)",""
Ohio,2936429,601592,601305,287,2020,2,2018,7,"Ohio
(40.415534, -82.70936)",""
Maine,253059,0,0,0,2020,2,2018,7,"Maine
(45.117911, -69.06137)","Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Tennessee,1505230,"","","",2020,2,2018,11,"Tennessee
(35.842998, -86.343226)",""
Ohio,2925809,594833,594549,284,2020,2,2018,8,"Ohio
(40.415534, -82.70936)",""
Ohio,2838197,559692,559418,274,2020,2,2019,3,"Ohio
(40.415534, -82.70936)",""
Massachusetts,1758706,348278,0,348278,2020,2,2018,8,"Massachusetts
(42.151077, -71.481104)",""
Mississippi,670959,"","","",2020,2,2018,12,"Mississippi
(32.713378, -89.65344)",""
Puerto Rico,1187816,386137,"",386137,2020,2,2019,1,"Puerto Rico
(18.215692, -66.414655)",""
Virgin Islands,25324,11135,"",11135,2020,2,2018,8,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
New Mexico,835397,252671,252671,0,2020,2,2018,11,"New Mexico
(34.421369, -106.108388)",""
Mississippi,673247,"","","",2020,2,2019,6,"Mississippi
(32.713378, -89.65344)",""
Colorado,1295757,405756,398806,6950,2020,2,2018,7,"Colorado
(38.998552, -105.547832)",""
Dist. Of Col.,261004,108667,67073,41594,2020,2,2018,11,"",""
Guam,36253,4207,"",4207,2020,2,2019,2,"Guam
(13.3532, 144.653198)",""
Massachusetts,1418667,320525,0,320525,2020,2,2019,2,"Massachusetts
(42.151077, -71.481104)",""
Wyoming,57709,"","","",2020,2,2018,8,"Wyoming
(42.999627, -107.55145)",""
Pennsylvania,2849170,769039,730764,38275,2020,2,2018,12,"Pennsylvania
(40.896694, -77.838886)","Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Missouri,895137,"","","",2020,2,2019,1,"Missouri
(38.3675, -92.477244)",""
Virginia,1078915,0,0,0,2020,2,2018,11,"Virginia
(37.510861, -78.666382)","Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
South Dakota,104328,"","","",2020,2,2019,3,"South Dakota
(44.43614, -100.230491)",""
California,12437994,3696925,3684894,12031,2020,2,2019,6,"California
(37.211164, -119.662127)",""
Connecticut,928800,250696,229072,21624,2020,2,2018,7,"Connecticut
(41.575155, -72.738288)",""
Indiana,1293678,301500,301500,0,2020,2,2018,12,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Alabama,1033498,"","","",2020,2,2019,5,"Alabama
(32.756889, -86.844516)",""
Delaware,211235,62735,9984,52751,2020,2,2018,9,"Delaware
(38.994926, -75.452394)",""
Virgin Islands,27917,12846,"",12846,2020,2,2019,2,"Virgin Islands
(18.060868, -64.840836)","Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Totals,74812854,15399528,12111460,3288068,2020,2,2019,5,"",""
Washington,1752554,563224,548937,14287,2020,2,2019,1,"Washington
(47.411715, -120.592492)",""
North Dakota,93365,20542,19521,1021,2020,2,2018,8,"North Dakota
(47.446305, -100.46931)",""
Washington,1738596,553306,539068,14238,2020,2,2019,4,"Washington
(47.411715, -120.592492)",""
Maine,261086,12210,12210,0,2020,2,2019,3,"Maine
(45.117911, -69.06137)","Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Maine,248113,0,0,0,2020,2,2018,12,"Maine
(45.117911, -69.06137)","Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Vermont,175819,57944,0,57944,2020,2,2018,7,"Vermont
(44.075252, -72.662695)",""
Idaho,294796,"","","",2020,2,2019,3,"Idaho
(44.389073, -114.659366)",""
Wyoming,56253,"","","",2020,2,2019,1,"Wyoming
(42.999627, -107.55145)",""
Arizona,1872908,416061,106046,310015,2020,2,2018,10,"Arizona
(34.293239, -111.664616)",""
Oklahoma,644559,"","","",2020,2,2019,2,"Oklahoma
(35.583449, -97.508297)",""
Utah,289310,"","","",2020,2,2019,6,"Utah
(39.323779, -111.678222)",""
Oklahoma,642886,"","","",2020,2,2019,5,"Oklahoma
(35.583449, -97.508297)",""
New Hampshire,182244,52903,52622,281,2020,2,2019,5,"New Hampshire
(43.680429, -71.57139)","New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Hawaii,311088,110824,20336,90488,2020,2,2019,2,"Hawaii
(21.361013, -157.854309)",""
Massachusetts,1764713,271885,0,271885,2020,2,2018,11,"Massachusetts
(42.151077, -71.481104)",""
Minnesota,1077132,197968,196976,992,2020,2,2018,9,"Minnesota
(46.349153, -94.198308)",""
West Virginia,525287,160732,160732,0,2020,2,2018,12,"West Virginia
(38.642579, -80.613729)",""
New York,6156470,1914377,299840,1614537,2020,2,2018,10,"New York
(42.921241, -75.59655)",""
Nebraska,245070,"","","",2020,2,2018,9,"Nebraska
(41.527099, -99.810595)",""
Indiana,1307223,309510,309510,0,2020,2,2019,6,"Indiana
(39.919991, -86.2818)","Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
New Jersey,1570169,518216,518216,0,2020,2,2019,6,"New Jersey
(40.110253, -74.655514)",""
Missouri,858822,"","","",2020,2,2019,5,"Missouri
(38.3675, -92.477244)",""
